Title,Name,Part of volume,Physical description,Acquisition,destination,Languages,Authors,Mentions,Party to the Deed,Key Words,Notes,URL
[u'MS. Heb. a. 1/1'],[u'Exodus xxxiii. 12 to xxxvii. 11'],[u'MS. Heb. a. 1'],"[u'Span\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e \u200e6\u200e coll\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'1a', u'2b']",[u'Main language: Hebrew.'],[],[],[],[u'Bible. Exodus.'],"[u'six columns\u200e,\u200e probably taken from a scroll used in schools\u200e;\u200e there are corrections between the lines\u200e,\u200e no Targum\u200e,\u200e nor vowel points\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/b258b863-ac6f-4b20-b012-91286592dec4
[u'MS. Heb. a. 1/2'],[u'Biblical fragments'],[u'MS. Heb. a. 1'],"[u'Germ\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e \u200e(\u200eprobably end of the \u200e1\u200e\u200e2\u200eth century\u200e)\u200e \u200e;\u200e \u200e3\u200e coll\u200e.\u200e\u200e,\u200e fol\u200e.\u200e\u200e,\u200e vellum \u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'3a', u'13b']",[u'Main language: Hebrew.'],[],[],[],"[u'Bible. Psalms.', u'Bible. Esther.', u'Bible. Chronicles.']","[u'The two Masorahs\u200e,\u200e sometimes fuller than in the editions \u200e(\u200esee fol. 3  to xxi\u200e.\u200e \u200e2\u200e\u200e)\u200e\u200e.\u200e At end of \u200e2\u200e\u200e3\u200erd \u200e(\u200eMS\u200e.\u200e \u200e2\u200e\u200e2\u200end\u200e)\u200e Psalm are the words \u05e2\u05d3 \u05db\u05d0\u05df \u05d1\u05d9\u05d5\u05dd \u05e8\u05d0\u05e9\u05d5\u05df  \u200e;\u200e all with vowel points and accents\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/7910d851-fc96-45bc-a1a4-35ed3aecc089
[u'MS. Heb. a. 2/1'],[u'A fragment of a marriage contract'],[u'MS. Heb. a. 2'],"[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e,\u200e cut and injured\u200e.\u200e ']","[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'1a', u'1b']",[u'Main language: Aramaic.'],[],[],"[u'Amram b. Maimon', u'Josiah b. Nehemiah \u05e8\u05d0\u05e9 \u05e4\u05e8\u05e7\u05d0', u'Karimah dtr of Isaac']",[u'Deeds. Marriage.'],"[u'dated the 24th of Siwan, 1313 Sel.  \u200e(\u200esuperscribed 1366 \u200e)\u200e \u200e=\u200e 1002 A.D. \u200e,\u200e at Fostat  \u200e(\u200e \u05e4\u05e1\u05d8\u05d0\u05d8 \u05de\u05e6\u05e8\u05d9\u05dd \u200e)\u200e on the Nile\u200e;\u200e the parties are Amram bar Maimon  and ... \u05d6\u05d4\u05e8\u05d0, daughter of Elishama  \u200e(\u200esuperscribed Josiah bar R. Nehemiah \u05e8\u05d0\u05e9 \u05e4\u05e8\u05e7\u05d0  and ... \u05db\u05e8\u05d9\u05de\u05d4, daughter of Isaac \u200e)\u200e\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/ed42b3df-f4da-4e69-adfe-8d13db8c9c40
[u'MS. Heb. a. 2/10'],[u'Fragment of a marriage contract'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'10a', u'10b']","[u'The main language is Aramaic. Other languages included: Hebrew, Judeo-Arabic.']",[],"[u'Joseph b. Nissim', u'Joseph b. Shemariah', u'Joseph b. Solomon']",[],[u'Deeds. Marriage.'],"[u'much cut\u200e,\u200e witnessed by Joseph bar Solomon \u200e,\u200e Joseph ben R. Nisim \u200e,\u200e and Joseph bar Shemariah \u200e.\u200e On the verso  some scribbling in Hebrew and Arabic\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/050ca9f7-aa50-4a51-9c89-adc6fb0d7af7
[u'MS. Heb. a. 2/11'],"[u'List, in Arabic, of mercantile transactions']",[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'11a', u'11b']",[u'Main language: Judeo-Arabic.'],[],"[u""Abu 'l-bashar""]",[],"[u'Accounts. Arabic.', u'Deeds. Various. Arabic.']",[u'beg\u200e.\u200e \u05de\u05e2\u05e8\u05e4\u05d4 \u05d7\u05e1\u05d0\u05d1 \u05d0\u05d1\u05d9 \u05d0\u05dc\u05d1\u05e9\u05e8 \u05de\u05df \u05d3\u0307\u05dc\u05da \u05e2\u05d3\u05dc \u05dc\u05da \u05d0\u05dc\u05d5\u05d6\u05df \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/96e209ae-4fc3-4a39-9cf6-cea1217fa3d0
[u'MS. Heb. a. 2/12'],[u'A fragment of a conveyance of property'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'12a', u'12b']",[u'Main language: Judeo-Arabic.'],[],[],[],[u'Deeds. Conveyances.'],[u'beg\u200e.\u200e ... \u05d0\u05dc\u05e1\u05d5\u05e7 \u05d0\u05dc\u05db\u05d1\u05d9\u05e8 \u05d0\u05dc\u05de\u05e2\u05e8\u05d5\u05e4\u05d4 \u200e;\u200e much cut\u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d272a721-bf00-490a-a7b7-41897b031530
[u'MS. Heb. a. 2/13'],[u'Document; liturgy'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'13a', u'13b']",[u'Main language: Hebrew.'],[],[],[u'Joseph b. Isaac'],"[u'Deeds. Various.', u'Liturgy. \u05e4\u05e1\u05d7.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/d4d3c5f7-301c-4c25-a113-44961c2ac3d3
[u'MS. Heb. a. 2/14'],[u'The end of a letter in rhymed prose'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'14a', u'14b']",[u'The main language is Hebrew. Other languages included: Judeo-Arabic.'],['Judah b. Ali'],"[u'Judah b. \u02bfAli', u'Abraham (ha-rophe) b. \u02bfAli', u""Abu 'l-\u02bfala"", u""Abu 'l-\u1e25asan b. Judah b. \u02bfAli"", u'Abu \u02bfImran b. Ya\u1e25ya \u05d0\u05dc\u05e8\u05e7\u05d9', u'Mebhorakh b. David, hab-babli']",[],"[u'Accounts.', u'Judah b. \u02bfAli. Letter.', u'Letters, in rhyme, or poems.']","[u'from Judah Sofer bar Ali  to Meborakh bar David hab-Babli  \u200e(\u200eon the verso \u200e)\u200e\u200e,\u200e ending with \u05d5\u05ea\u05df \u05e9\u05dc\u05d5\u05dd \u05dc\u05d0\u05d3\u05d5\u05e0\u05d9 \u05de\u05e8\u05d9 \u05d5\u05e8\u05d1\u05e0\u05d0 \u05d0\u05d1\u05e8\u05d4\u05dd \u05d4\u05e8\u05d5\u05e4\u05d0 \u05d6\u05e7\u05e0\u05e0\u05d5 \u05d5\u05d7\u05e9\u05d5\u05d1\u05e0\u05d5 \u05d1\u05df \u05db\u05d1\u05d5\u05d3 \u05d2\u05d3\u05d5\u05dc\u05ea \u05e7\u05d3\u05d5\u05e9\u05ea \u05de\u05e8\u05e0\u05d0 \u05d5\u05e8\u05d1\u05e0\u05d0 \u05e2\u05dc\u05d9 \u05e0\u0307\u05e0\u0307 \u05d5\u05ea\u05e7\u05d1\u05dc\u05d5 \u05e9\u05dc\u05d5\u05dd \u05e8\u05d1 \u05de\u05d7\u05de\u05d5\u05d3\u05d9 \u05e2\u05dc\u05d9 \u200e.\u200e This is followed by a postscript\u200e,\u200e beg\u200e.\u200e \u05d5\u05e7\u05d3 \u05d2\u05e2\u05dc\u05ea \u05e8\u05e7\u05e2\u05d4 \u05d3\u05e8\u05d2 \u05db\u05ea\u05d0\u05d1\u05da \u05de\u05ea\u05e4\u05e6\u0307\u05dc \u05ea\u05e8\u05e4\u05e2\u05d4\u05d0 \u05dc\u05e1\u05d9\u05d3\u05d9 \u05d0\u05d1\u05d9 \u05e2\u05de\u05e8\u05df \u05d1\u05df \u05d9\u05d7\u05d9\u05d9 \u05d0\u05dc\u05e8\u05e7\u05d9 ... \u200e,\u200e and mentioning \u05d5\u05dc\u05d3\u05d9 \u05d0\u05d1\u05d5 \u05d0\u05dc\u05d7\u05e1\u05df \u200e.\u200e On the verso  are some entries by a later hand\u200e,\u200e beg\u200e.\u200e \u05d0\u05e9\u05ea\u05e8\u05d9\u05ea \u05de\u05df \u05d0\u05d1\u05d5 \u05d0\u05dc\u05e2\u05dc\u05d0 \u05e8\u05d8\u05dc\u05d9\u05df ... \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/2d52dc87-7883-4ace-863e-d58cc1f5fe8a
[u'MS. Heb. a. 2/15'],[u'The end of a legal document'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'15a', u'15b']",[u'Main language: Hebrew.'],[],[],[u'Elhanan b. Shemariah'],[u'Deeds. Various.'],[u'signed \u05d0\u05dc\u05d7\u05e0\u05df \u05d1\u05d9\u05ea \u05d3\u05d9\u05df \u05d1\u05d9\u05e8\u05d1\u05d9 \u05e9\u05de\u05e8\u05d9\u05d4 \u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/3594c816-5d7f-431c-809f-5164ff88de4e
[u'MS. Heb. a. 2/16'],[u'A letter from \u1e24alfon hal-Levi son of Menasseh \u05d1\u05df \u05d0\u05dc\u05e7\u05d8\u05d0\u05d9\u05e3 to R. \u1e24alfon ben Isaac \u05d4\u05e9\u05e8 \u05d4\u05e0\u05db\u05d1\u05d3 \u05e0\u05d3\u05d9\u05d1 ... (on the verso).'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e paper \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'16a', u'16b']",[u'The main language is Judeo-Arabic. Other languages included: Hebrew.'],['alfon (levi) b. Manasseh (= )'],"[u'\u1e24alfon (levi) b. Manasseh (=\u05d1\u05df \u05d0\u05dc\u05e7\u05d8\u05d0\u05d9\u05e3)', u'Abu Sa\u02bfid \u1e24alfon (hal-levi) b. Nethaneel', u'\u1e24alfon b. Isaac', u'\u1e24alfon (levi) b. Nethaneel']",[],"[u'\u1e24alfon (levi) b. Manasseh (=\u05d1\u05df \u05d0\u05dc\u05e7\u05d8\u05d0\u05d9\u05e3). Letter.', u'Letters. Arabic.', u'Letters, in rhyme, or poems.']","[u'The preamble is in Hebrew and in rhymed prose\u200e,\u200e the letter is in Arabic\u200e.\u200e It is mentioned that a letter had already been sent to him by \u05d0\u05dc\u05e9\u05d9\u05da \u05d0\u05d1\u05d5 \u05e1\u05e2\u05d9\u05d3 \u05db\u05bf\u05d2\u05bf\u05e7\u05bf \u05de\u05bf\u05e8\u05bf\u05d5\u05bf\u05e8\u05bf \u05d7\u05dc\u05e4\u05d5\u05df \u05d4\u05dc\u05d5\u05d9 \u05d4\u05d9\u05e7\u05e8 \u05d4\u05e0\u05d1\u05d5\u05df \u05e0\u05bf\u05d8\u05bf\u05e8\u05bf\u05d7\u05bf \u05d1\u05e8 \u05db\u05bf\u05d2\u05bf\u05e7\u05bf \u05e0\u05ea\u05e0\u05d0\u05dc \u05d4\u05dc\u05d5\u05d9 \u05d4\u05d6\u05e7\u05df \u05d4\u05e0\u05db\u05d1\u05d3 \u05e0\u0307\u05e2\u0307 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/0eabe35f-b083-4721-86fa-ced10ff0f445
